Semestre,Horario,Segunda,Terca,Quarta,Quinta,Sexta,Sabado
 ,21:00 - 22:00, , , , , , 
8,08:00 - 09:00, , , ,Projeto de Sistemas Integrados 1, , 
 ,09:00 - 10:00, , , ,Projeto de Sistemas Integrados 1, , 
 ,10:00 - 11:00, , , ,Projeto de Sistemas Integrados 1, , 
 ,11:00 - 12:00, , , ,Projeto de Sistemas Integrados 1, , 
 ,13:00 - 14:00,Processamento Digital de Sinais, , ,Laboratorio de Sistemas Integrados,Sistemas de Controle, 
 ,14:00 - 15:00,Processamento Digital de Sinais, , ,Laboratorio de Sistemas Integrados,Sistemas de Controle, 
 ,15:00 - 16:00,Processamento Digital de Sinais, , , ,Sistemas de Controle, 
 ,16:00 - 17:00,Processamento Digital de Sinais, , , ,Sistemas de Controle, 
 ,18:00 - 19:00, , , , , , 
 ,19:00 - 20:00, , , , , , 
 ,20:00 - 21:00, , , , , , 
 ,21:00 - 22:00, , , , , , 
9,08:00 - 09:00, , , , , , 
 ,09:00 - 10:00, , , , , , 
 ,10:00 - 11:00, , , , , , 
 ,11:00 - 12:00, , , , , , 
 ,13:00 - 14:00, ,Automacao,Gestao e Empreendedorismo, , , 
 ,14:00 - 15:00, ,Automacao,Gestao e Empreendedorismo, , , 
 ,15:00 - 16:00, ,Automacao,Gestao e Empreendedorismo, , , 
 ,16:00 - 17:00, ,Automacao,Gestao e Empreendedorismo, , , 
 ,18:00 - 19:00, , , , , , 
 ,19:00 - 20:00, , , , , , 
 ,20:00 - 21:00, , , , , , 
 ,21:00 - 22:00, , , , , , 
10,08:00 - 09:00,Qualidade e Testes de Sistemas, , , , , 
 ,09:00 - 10:00,Qualidade e Testes de Sistemas, , , , , 
 ,10:00 - 11:00,Qualidade e Testes de Sistemas, , , , , 
 ,11:00 - 12:00,Qualidade e Testes de Sistemas, , , , , 
 ,13:00 - 14:00, , , , , , 
 ,14:00 - 15:00, , , , , , 
 ,15:00 - 16:00, , , , , , 
 ,16:00 - 17:00, , , , , , 
 ,18:00 - 19:00, , , , , , 
 ,19:00 - 20:00, , , , , , 
 ,20:00 - 21:00, , , , , , 
 ,21:00 - 22:00, , , , , , 
