+----------+---------------+-------------------------------------+-----------------------------+--------------------------------------+---------------------------------------+--------------------------------------+--------+
| Semestre |    Horario    |               Segunda               |            Terca            |                Quarta                |                 Quinta                |                Sexta                 | Sabado |
|    6     | 08:00 - 09:00 |        Sistemas de Tempo Real       |      Legislação e ética     |                                      |          Sistemas e Modelagem         |                                      |        |
|          | 09:00 - 10:00 |        Sistemas de Tempo Real       |      Legislação e ética     |                                      |          Sistemas e Modelagem         |                                      |        |
|          | 10:00 - 11:00 |        Sistemas de Tempo Real       |                             |                                      |          Sistemas e Modelagem         |                                      |        |
|          | 11:00 - 12:00 |        Sistemas de Tempo Real       |                             |                                      |          Sistemas e Modelagem         |                                      |        |
|          | 13:00 - 14:00 |                                     |     Rede de Computadores    |  Laboratório de Microcontroladores   |              Eletrônica 2             |          Microcontroladores          |        |
|          | 14:00 - 15:00 |                                     |     Rede de Computadores    |  Laboratório de Microcontroladores   |              Eletrônica 2             |          Microcontroladores          |        |
|          | 15:00 - 16:00 |                                     |     Rede de Computadores    |                                      |              Eletrônica 2             |          Microcontroladores          |        |
|          | 16:00 - 17:00 |                                     |     Rede de Computadores    |                                      |              Eletrônica 2             |          Microcontroladores          |        |
|          | 18:00 - 19:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 19:00 - 20:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 20:00 - 21:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 21:00 - 22:00 |                                     |                             |                                      |                                       |                                      |        |
|    7     | 08:00 - 09:00 | Fundamentos de Circuitos Integrados |                             |                                      |          Comunicação de Dados         |      Eletromagnetismo Aplicado       |        |
|          | 09:00 - 10:00 | Fundamentos de Circuitos Integrados |                             |                                      |          Comunicação de Dados         |      Eletromagnetismo Aplicado       |        |
|          | 10:00 - 11:00 | Fundamentos de Circuitos Integrados |                             |       Economia para Engenharia       |          Comunicação de Dados         |      Eletromagnetismo Aplicado       |        |
|          | 11:00 - 12:00 | Fundamentos de Circuitos Integrados |                             |       Economia para Engenharia       |          Comunicação de Dados         |      Eletromagnetismo Aplicado       |        |
|          | 13:00 - 14:00 |   Barramentos e Programação de E/S  |    Sistemas Distribuídos    |            Instrumentação            |                                       |                                      |        |
|          | 14:00 - 15:00 |   Barramentos e Programação de E/S  |    Sistemas Distribuídos    |            Instrumentação            |                                       |                                      |        |
|          | 15:00 - 16:00 |   Barramentos e Programação de E/S  |    Sistemas Distribuídos    |            Instrumentação            |                                       |                                      |        |
|          | 16:00 - 17:00 |   Barramentos e Programação de E/S  |    Sistemas Distribuídos    |            Instrumentação            |                                       |                                      |        |
|          | 18:00 - 19:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 19:00 - 20:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 20:00 - 21:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 21:00 - 22:00 |                                     |                             |                                      |                                       |                                      |        |
|    8     | 08:00 - 09:00 |                                     |                             |                                      |    Projeto de Sistemas Integrados 1   |                                      |        |
|          | 09:00 - 10:00 |                                     |                             |                                      |    Projeto de Sistemas Integrados 1   |                                      |        |
|          | 10:00 - 11:00 |                                     |                             |                                      |    Projeto de Sistemas Integrados 1   |                                      |        |
|          | 11:00 - 12:00 |                                     |                             |                                      |    Projeto de Sistemas Integrados 1   |                                      |        |
|          | 13:00 - 14:00 |   Processamento Digital de Sinais   |                             |                                      |   Laboratório de Sistemas Integrados  |         Sistemas de Controle         |        |
|          | 14:00 - 15:00 |   Processamento Digital de Sinais   |                             |                                      |   Laboratório de Sistemas Integrados  |         Sistemas de Controle         |        |
|          | 15:00 - 16:00 |   Processamento Digital de Sinais   |                             |                                      |                                       |         Sistemas de Controle         |        |
|          | 16:00 - 17:00 |   Processamento Digital de Sinais   |                             |                                      |                                       |         Sistemas de Controle         |        |
|          | 18:00 - 19:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 19:00 - 20:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 20:00 - 21:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 21:00 - 22:00 |                                     |                             |                                      |                                       |                                      |        |
|    9     | 08:00 - 09:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 09:00 - 10:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 10:00 - 11:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 11:00 - 12:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 13:00 - 14:00 |                                     |          Automação          |      Gestão e Empreendedorismo       |                                       |                                      |        |
|          | 14:00 - 15:00 |                                     |          Automação          |      Gestão e Empreendedorismo       |                                       |                                      |        |
|          | 15:00 - 16:00 |                                     |          Automação          |      Gestão e Empreendedorismo       |                                       |                                      |        |
|          | 16:00 - 17:00 |                                     |          Automação          |      Gestão e Empreendedorismo       |                                       |                                      |        |
|          | 18:00 - 19:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 19:00 - 20:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 20:00 - 21:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 21:00 - 22:00 |                                     |                             |                                      |                                       |                                      |        |
|    10    | 08:00 - 09:00 |    Qualidade e Testes de Sistemas   |                             |                                      |                                       |                                      |        |
|          | 09:00 - 10:00 |    Qualidade e Testes de Sistemas   |                             |                                      |                                       |                                      |        |
|          | 10:00 - 11:00 |    Qualidade e Testes de Sistemas   |                             |                                      |                                       |                                      |        |
|          | 11:00 - 12:00 |    Qualidade e Testes de Sistemas   |                             |                                      |                                       |                                      |        |
|          | 13:00 - 14:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 14:00 - 15:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 15:00 - 16:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 16:00 - 17:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 18:00 - 19:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 19:00 - 20:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 20:00 - 21:00 |                                     |                             |                                      |                                       |                                      |        |
|          | 21:00 - 22:00 |                                     |                             |                                      |                                       |                                      |        |
+----------+---------------+-------------------------------------+-----------------------------+--------------------------------------+---------------------------------------+--------------------------------------+--------+
